Date,Price,Open,High,Low,Change %
06/14/2023,"6,334","6,359","6,359","6,328",+0.49%
06/13/2023,"6,303","6,309","6,316","6,300",-0.10%
12/6/2023,"6,309","6,327","6,331","6,309",-0.50%
9/6/2023,"6,341","6,368","6,368","6,341",-0.42%
8/6/2023,"6,368","6,344","6,385","6,344",+0.36%
7/6/2023,"6,345","6,341","6,345","6,316",-0.16%
6/6/2023,"6,355","6,400","6,400","6,355",-0.70%
5/6/2023,"6,400","6,369","6,406","6,369",-0.87%
1/6/2023,"6,456","6,456","6,456","6,456",+1.00%
05/31/2023,"6,392","6,400","6,400","6,392",0.00%
05/30/2023,"6,392","6,417","6,417","6,392",-0.28%
05/29/2023,"6,410","6,417","6,429","6,410",-0.39%
05/26/2023,"6,435","6,411","6,445","6,411",+0.42%
05/25/2023,"6,408","6,423","6,436","6,406",-0.19%
05/24/2023,"6,420","6,444","6,449","6,420",-0.19%
05/23/2023,"6,432","6,461","6,461","6,420",-0.34%
05/22/2023,"6,454","6,418","6,459","6,418",+0.44%
05/19/2023,"6,426","6,350","6,430","6,350",-0.28%
05/18/2023,"6,444","6,444","6,444","6,444",+1.23%
05/17/2023,"6,366","6,408","6,415","6,366",-0.53%
05/16/2023,"6,400","6,428","6,434","6,389",-0.28%
05/15/2023,"6,418","6,405","6,473","6,405",+0.20%
12/5/2023,"6,405","6,436","6,436","6,383",-0.36%
11/5/2023,"6,428","6,480","6,480","6,424",-0.71%
10/5/2023,"6,474","6,500","6,500","6,469",-0.05%
9/5/2023,"6,477","6,493","6,504","6,456",+0.08%
8/5/2023,"6,472","6,467","6,502","6,460",+0.56%
5/5/2023,"6,436","6,437","6,444","6,402",-0.08%
4/5/2023,"6,441","6,511","6,511","6,441",-1.36%
3/5/2023,"6,530","6,520","6,533","6,509",+0.20%
2/5/2023,"6,517","6,523","6,523","6,509",-0.29%
04/28/2023,"6,536","6,543","6,557","6,536",+0.06%
04/27/2023,"6,532","6,579","6,588","6,502",-0.73%
04/26/2023,"6,580","6,654","6,654","6,564",-2.49%
04/19/2023,"6,748","6,748","6,748","6,748",+1.20%
04/18/2023,"6,668","6,648","6,684","6,648",+0.36%
04/17/2023,"6,644","6,634","6,644","6,634",+0.08%
04/14/2023,"6,639","6,649","6,649","6,622",-0.06%
04/13/2023,"6,643","6,646","6,649","6,629",+0.06%
12/4/2023,"6,639","6,676","6,677","6,634",-0.51%
11/4/2023,"6,673","6,698","6,698","6,673",-0.39%
10/4/2023,"6,699","6,648","6,704","6,643",-0.80%
7/4/2023,"6,753","6,753","6,753","6,753",+1.12%
6/4/2023,"6,678","6,711","6,715","6,674",-0.49%
5/4/2023,"6,711","6,758","6,758","6,711",-0.52%
4/4/2023,"6,746","6,795","6,797","6,736",-0.60%
3/4/2023,"6,787","6,801","6,801","6,755",-0.41%
03/31/2023,"6,815","6,843","6,843","6,797",-0.31%
03/30/2023,"6,836","6,829","6,864","6,829",+0.09%
03/29/2023,"6,830","6,808","6,831","6,808",+0.38%
03/28/2023,"6,804","6,802","6,811","6,772",+0.03%
03/27/2023,"6,802","6,753","6,802","6,753",-0.60%
03/24/2023,"6,843","6,886","6,892","6,767",-2.15%
03/22/2023,"6,994","6,994","6,994","6,994",+1.33%
03/21/2023,"6,902","6,905","6,915","6,893",+0.16%
03/20/2023,"6,891","6,851","6,900","6,851",-0.89%
03/17/2023,"6,953","6,856","6,984","6,856",+1.94%
03/16/2023,"6,821","6,763","6,821","6,721",+0.96%
03/15/2023,"6,756","6,804","6,806","6,756",-0.52%
03/14/2023,"6,791","6,893","6,893","6,766",-1.48%
03/13/2023,"6,893","6,928","6,931","6,844",-0.99%
10/3/2023,"6,962","7,041","7,041","6,962",-1.09%
9/3/2023,"7,039","7,043","7,059","7,023",+0.64%
8/3/2023,"6,994","6,979","7,022","6,979",+0.30%
7/3/2023,"6,973","6,962","6,974","6,954",+0.23%
6/3/2023,"6,957","6,964","6,981","6,944",-0.36%
3/3/2023,"6,982","6,937","6,990","6,937",+0.65%
2/3/2023,"6,937","6,898","6,945","6,898",+0.73%
1/3/2023,"6,887","6,887","6,899","6,882",+0.03%
02/28/2023,"6,885","6,867","6,885","6,861",+0.64%
02/27/2023,"6,841","6,790","6,845","6,790",+0.75%
02/24/2023,"6,790","6,807","6,812","6,790",-0.13%
02/23/2023,"6,799","6,779","6,819","6,778",+0.44%
02/22/2023,"6,769","6,740","6,830","6,740",+0.56%
02/21/2023,"6,731","6,730","6,737","6,726",+0.21%
02/20/2023,"6,717","6,721","6,735","6,716",-0.16%
02/17/2023,"6,728","6,719","6,740","6,692",-0.25%
02/16/2023,"6,745","6,770","6,774","6,745",-0.27%
02/15/2023,"6,763","6,713","6,763","6,713",+0.67%
02/14/2023,"6,718","6,743","6,746","6,711",-0.16%
02/13/2023,"6,729","6,667","6,753","6,667",+0.88%
10/2/2023,"6,670","6,646","6,675","6,646",+0.56%
9/2/2023,"6,633","6,699","6,699","6,624",-1.09%
8/2/2023,"6,706","6,732","6,735","6,706",-0.16%
7/2/2023,"6,717","6,671","6,721","6,671",+0.81%
6/2/2023,"6,663","6,545","6,688","6,545",+1.45%
3/2/2023,"6,568","6,568","6,568","6,568",-0.92%
2/2/2023,"6,629","6,653","6,654","6,622",-0.35%
1/2/2023,"6,652","6,707","6,708","6,645",-0.81%
01/31/2023,"6,706","6,776","6,785","6,700",-0.86%
01/30/2023,"6,764","6,743","6,791","6,743",+0.55%
01/27/2023,"6,727","6,690","6,727","6,686",+0.64%
01/26/2023,"6,684","6,666","6,693","6,666",+0.32%
01/25/2023,"6,663","6,620","6,663","6,616",+0.68%
01/24/2023,"6,618","6,617","6,623","6,604",-1.51%
01/23/2023,"6,720","6,720","6,720","6,720",+1.29%
01/20/2023,"6,634","6,675","6,682","6,634",-0.61%
01/19/2023,"6,675","6,716","6,716","6,672",-0.61%
01/18/2023,"6,716","6,784","6,791","6,713",-1.00%
01/17/2023,"6,784","6,738","6,812","6,738",+0.68%
01/16/2023,"6,738","6,722","6,738","6,708",+0.61%
01/13/2023,"6,697","6,729","6,729","6,623",-0.48%
12/1/2023,"6,729","6,808","6,815","6,729",-1.16%
11/1/2023,"6,808","6,863","6,863","6,808",-0.80%
10/1/2023,"6,863","6,935","6,935","6,863",-1.04%
9/1/2023,"6,935","6,964","6,978","6,882",-0.45%
6/1/2023,"6,966","6,996","7,008","6,966",-0.43%
5/1/2023,"6,996","7,024","7,034","6,989",-0.41%
4/1/2023,"7,025","7,050","7,056","7,024",-0.35%
3/1/2023,"7,050","6,966","7,057","6,966",+1.82%
2/1/2023,"6,924","6,935","6,935","6,924",-0.01%
12/30/2022,"6,925","6,892","6,935","6,888",+0.44%
12/29/2022,"6,895","6,927","6,927","6,895",-0.39%
12/28/2022,"6,922","6,938","6,938","6,922",+0.19%
12/27/2022,"6,909","6,923","6,927","6,904",-0.03%
12/26/2022,"6,911","6,912","6,923","6,911",-0.19%
12/23/2022,"6,924","6,948","6,948","6,918",+0.09%
12/22/2022,"6,918","6,957","6,957","6,905",-0.16%
12/21/2022,"6,929","6,918","6,951","6,918",+0.33%
12/20/2022,"6,906","6,896","6,906","6,881",+0.36%
12/19/2022,"6,881","6,873","6,891","6,866",-0.28%
12/16/2022,"6,900","6,865","6,903","6,863",+0.60%
12/15/2022,"6,859","6,920","6,920","6,859",-0.94%
12/14/2022,"6,924","6,957","6,957","6,912",-0.35%
12/13/2022,"6,948","6,957","6,971","6,946",0.00%
12/12/2022,"6,948","6,918","6,950","6,917",-0.14%
9/12/2022,"6,958","6,946","6,958","6,917",+0.07%
8/12/2022,"6,953","7,023","7,023","6,953",-0.88%
7/12/2022,"7,015","6,929","7,015","6,929",+1.45%
6/12/2022,"6,915","6,891","6,925","6,891",+0.44%
5/12/2022,"6,885","6,827","6,885","6,827",+0.61%
2/12/2022,"6,843","6,842","6,856","6,842",-0.19%
1/12/2022,"6,856","6,964","6,964","6,854",-1.34%
11/30/2022,"6,949","6,978","7,000","6,944",-0.43%
11/29/2022,"6,979","6,977","6,984","6,977",+0.17%
11/28/2022,"6,967","6,947","6,982","6,944",+0.35%
11/25/2022,"6,943","6,978","6,978","6,938",-0.73%
11/24/2022,"6,994","7,022","7,029","6,978",-0.50%
11/23/2022,"7,029","7,063","7,063","7,027",-0.41%
11/22/2022,"7,058","7,081","7,097","7,058",-0.17%
11/21/2022,"7,070","7,052","7,076","7,044",+0.35%
11/18/2022,"7,045","7,021","7,062","7,021",+0.41%
11/17/2022,"7,016","7,000","7,016","7,000",+0.19%
11/16/2022,"7,003","7,040","7,056","7,001",-0.57%
11/15/2022,"7,043","7,090","7,096","7,043",-0.82%
11/14/2022,"7,101","7,066","7,161","7,066",-1.40%
11/11/2022,"7,202","7,333","7,333","7,202",-1.64%
10/11/2022,"7,322","7,322","7,327","7,309",-0.01%
9/11/2022,"7,323","7,462","7,462","7,320",-1.88%
8/11/2022,"7,463","7,476","7,476","7,452",-0.07%
7/11/2022,"7,468","7,466","7,486","7,463",-0.19%
4/11/2022,"7,482","7,443","7,482","7,443",+0.63%
3/11/2022,"7,435","7,420","7,435","7,407",-0.27%
2/11/2022,"7,455","7,535","7,535","7,442",-1.13%
1/11/2022,"7,540","7,552","7,552","7,517",-0.01%
10/31/2022,"7,541","7,512","7,558","7,512",-0.57%
10/28/2022,"7,584","7,584","7,595","7,561",+0.13%
10/27/2022,"7,574","7,639","7,642","7,543",-0.82%
10/26/2022,"7,637","7,676","7,676","7,629",-0.16%
10/25/2022,"7,649","7,657","7,657","7,649",-0.07%
10/24/2022,"7,654","7,653","7,661","7,647",+1.31%
10/21/2022,"7,555","7,521","7,555","7,515",+0.63%
10/20/2022,"7,508","7,456","7,560","7,456",+0.87%
10/19/2022,"7,443","7,457","7,457","7,418",-0.01%
10/18/2022,"7,444","7,423","7,457","7,423",+0.43%
10/17/2022,"7,412","7,384","7,421","7,377",+1.04%
10/14/2022,"7,336","7,380","7,400","7,321",-0.30%
10/13/2022,"7,358","7,368","7,368","7,331",+0.07%
12/10/2022,"7,353","7,362","7,400","7,353",+0.35%
11/10/2022,"7,327","7,294","7,339","7,294",+0.67%
10/10/2022,"7,278","7,260","7,302","7,250",+0.50%
7/10/2022,"7,242","7,211","7,242","7,209",+0.32%
6/10/2022,"7,219","7,179","7,219","7,179",+0.25%
5/10/2022,"7,201","7,291","7,291","7,185",-1.23%
4/10/2022,"7,291","7,381","7,381","7,291",-0.91%
3/10/2022,"7,358","7,381","7,381","7,355",-0.30%
09/30/2022,"7,380","7,389","7,413","7,380",-0.18%
09/29/2022,"7,393","7,423","7,423","7,321",-0.18%
09/28/2022,"7,406","7,398","7,421","7,370",+0.08%
09/27/2022,"7,400","7,359","7,420","7,359",+0.78%
09/26/2022,"7,343","7,318","7,374","7,318",+0.95%
09/23/2022,"7,274","7,243","7,278","7,239",+0.64%
09/22/2022,"7,228","7,198","7,230","7,196",+0.46%
09/21/2022,"7,195","7,210","7,218","7,190",-0.04%
09/20/2022,"7,198","7,219","7,219","7,194",-0.15%
09/19/2022,"7,209","7,217","7,240","7,179",-0.07%
09/16/2022,"7,214","7,178","7,219","7,170",+0.61%
09/15/2022,"7,170","7,117","7,170","7,117",+0.65%
09/14/2022,"7,124","7,136","7,136","7,107",+0.10%
09/13/2022,"7,117","7,160","7,166","7,117",-0.74%
12/9/2022,"7,170","7,162","7,172","7,146",-0.10%
9/9/2022,"7,177","7,200","7,225","7,174",-0.46%
8/9/2022,"7,210","7,201","7,269","7,195",+0.12%
7/9/2022,"7,201","7,180","7,204","7,180",+0.26%
6/9/2022,"7,182","7,160","7,184","7,158",+0.27%
5/9/2022,"7,163","7,138","7,235","7,138",+0.27%
2/9/2022,"7,144","7,137","7,153","7,131",+0.10%
1/9/2022,"7,137","7,128","7,157","7,128",+0.28%
08/31/2022,"7,117","7,130","7,132","7,115",-0.50%
08/30/2022,"7,153","7,159","7,234","7,153",+0.17%
08/29/2022,"7,141","7,062","7,220","7,062",+0.96%
08/26/2022,"7,073","7,064","7,073","7,053",+0.17%
08/25/2022,"7,061","7,072","7,072","7,049",-0.07%
08/24/2022,"7,066","7,132","7,134","7,066",-1.26%
08/23/2022,"7,156","7,150","7,186","7,150",+0.01%
08/22/2022,"7,155","7,143","7,263","7,124",+0.86%
08/19/2022,"7,094","7,056","7,096","7,056",+0.67%
08/18/2022,"7,047","7,016","7,054","7,016",-0.30%
08/16/2022,"7,068","7,071","7,095","7,068",+0.27%
08/15/2022,"7,049","7,001","7,060","6,996",+1.12%
12/8/2022,"6,971","6,993","6,993","6,951",-0.56%
11/8/2022,"7,010","7,104","7,104","7,003",-1.31%
10/8/2022,"7,103","7,114","7,120","7,090",-0.15%
9/8/2022,"7,114","7,110","7,114","7,091",+0.25%
8/8/2022,"7,096","7,103","7,146","7,096",-0.66%
5/8/2022,"7,143","7,194","7,195","7,136",-1.00%
4/8/2022,"7,215","7,236","7,238","7,208",-0.14%
3/8/2022,"7,225","7,188","7,255","7,188",+0.92%
2/8/2022,"7,159","7,131","7,160","7,127",+0.46%
1/8/2022,"7,126","7,110","7,170","7,095",-0.99%
07/29/2022,"7,197","7,311","7,313","7,182",-1.55%
07/28/2022,"7,310","7,409","7,415","7,305",-1.40%
07/27/2022,"7,414","7,433","7,456","7,414",-0.01%
07/26/2022,"7,415","7,424","7,424","7,388",-0.36%
07/25/2022,"7,442","7,472","7,472","7,423",-0.65%
07/22/2022,"7,491","7,496","7,500","7,487",+0.09%
07/21/2022,"7,484","7,467","7,503","7,467",+0.25%
07/20/2022,"7,465","7,433","7,492","7,433",+0.66%
07/19/2022,"7,416","7,394","7,432","7,394",+0.46%
07/18/2022,"7,382","7,354","7,383","7,354",+0.23%
07/15/2022,"7,365","7,318","7,365","7,318",+1.15%
07/14/2022,"7,281","7,246","7,282","7,236",+0.51%
